Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
auf die Pauke hauen	168	168	auf die Pauke + HAUEN		7	10 -> 7	7	10 -> 7							7	https://de.wiktionary.org/wiki/auf_die_Pauke_hauen
auf die schiefe Bahn geraten	169	169	auf die Schiefe Bahn		0	0	13	13							0	https://de.wiktionary.org/wiki/auf_die_schiefe_Bahn_geraten
auf die Schnelle	170	170	auf die Schnelle		34	34	46	46							34	https://de.wiktionary.org/wiki/auf_die_Schnelle
auf die Straße gehen	171	171	auf die Straße + GEHEN		351	795 -> 351	362	795 -> 362							351	https://de.wiktionary.org/wiki/auf_die_Stra%C3%9Fe_gehen
auf die Tränendrüse drücken	172	172	auf die Tränendrüse + drück		2	3 -> 2	2	3 -> 2							2	https://de.wiktionary.org/wiki/auf_die_Tr%C3%A4nendr%C3%BCse_dr%C3%BCcken
auf die Tube drücken	173	173	auf die Tube + drück		6	6 -> 6	6	6 -> 6							6	https://de.wiktionary.org/wiki/auf_die_Tube_dr%C3%BCcken
auf Draht sein	174	174	auf Draht + SEIN		2	10 -> 2	2	10 -> 2							2	https://de.wiktionary.org/wiki/auf_Draht_sein
auf dünnem Eis	175	175	auf dünnem Eis	auf dünnes Eis	7	7	7	7	0	0	0	0			7	https://de.wiktionary.org/wiki/auf_d%C3%BCnnem_Eis
auf eigene Faust	176	176	auf eigene Faust		148	148	148	148							148	https://de.wiktionary.org/wiki/auf_eigene_Faust
auf eigene Gefahr	177	177	auf eigene Gefahr		66	66	66	66							66	https://de.wiktionary.org/wiki/auf_eigene_Gefahr
auf eigene Rechnung	178	178	auf eigene Rechnung		48	48	48	48							48	https://de.wiktionary.org/wiki/auf_eigene_Rechnung
auf eigenen Beinen stehen	179	179	auf eigenen Beinen + STEHEN		23	25 -> 23	23	25 -> 23							23	https://de.wiktionary.org/wiki/auf_eigenen_Beinen_stehen
auf ein Haar	180	180	auf ein Haar		0	0	0	0							0	https://de.wiktionary.org/wiki/auf_ein_Haar
auf etwas erpicht sein	181	181	auf + erpicht + SEIN		10	429806 -> 12 -> 10	10	429824 -> 12 -> 10							10	https://de.wiktionary.org/wiki/auf_etwas_erpicht_sein
auf etwas nichts kommen lassen	182	182	auf + nichts kommen + LASSEN		2	429806 -> 2 -> 2	2	429824 -> 2 -> 2							2	https://de.wiktionary.org/wiki/auf_etwas_nichts_kommen_lassen
auf ex trinken	183	183	auf ex + TRINKEN		1	1 -> 1	1	14 -> 1							1	https://de.wiktionary.org/wiki/auf_ex_trinken
auf freiem Fuß sein	184	184	auf freiem Fuß		159	159	159	159							159	https://de.wiktionary.org/wiki/auf_freiem_Fu%C3%9F_sein
auf freien Fuß setzen	185	185	auf freien Fuß + SETZEN		84	144 -> 84	84	144 -> 84							84	https://de.wiktionary.org/wiki/auf_freien_Fu%C3%9F_setzen
auf Freiersfüßen gehen	186	186	auf Freiersfüßen + GEHEN		0	3 -> 0	0	3 -> 0							0	https://de.wiktionary.org/wiki/auf_Freiersf%C3%BC%C3%9Fen_gehen
auf Freiersfüßen wandeln	187	187	auf Freiersfüßen + wand[el]		1	3 -> 1	1	3 -> 1							1	https://de.wiktionary.org/wiki/auf_Freiersf%C3%BC%C3%9Fen_wandeln
auf Gedeih und Verderb	188	188	auf Gedeih und Verderb		5	5	6	6							5	https://de.wiktionary.org/wiki/auf_Gedeih_und_Verderb
auf Granit beißen	189	189	auf Granit + BEIẞEN		17	24 -> 17	17	24 -> 17							17	https://de.wiktionary.org/wiki/auf_Granit_bei%C3%9Fen
auf großem Fuß leben	190	190	auf großem Fuß + LEBEN		7	8 -> 7	7	8 -> 7							7	https://de.wiktionary.org/wiki/auf_gro%C3%9Fem_Fu%C3%9F_leben
auf Grund laufen	191	191	auf Grund + LAUFEN		51	1040 -> 51	58	1040 -> 58							51	https://de.wiktionary.org/wiki/auf_Grund_laufen
auf gut Deutsch	192	192	auf gut Deutsch		8	8	9	9							8	https://de.wiktionary.org/wiki/auf_gut_Deutsch
auf gutem Fuß stehen	193	193	auf gutem Fuß + STEHEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/auf_gutem_Fu%C3%9F_stehen
auf Heller und Pfennig	194	194	auf Heller und Pfennig		1	1	1	1							1	https://de.wiktionary.org/wiki/auf_Heller_und_Pfennig
auf Herz und Nieren prüfen	195	195	auf Herz und Nieren + prüf		20	33 -> 20	20	33 -> 20							20	https://de.wiktionary.org/wiki/auf_Herz_und_Nieren_pr%C3%BCfen
auf Holz klopfen	196	196	auf Holz + klopf		2	36 -> 2	2	36 -> 2							2	https://de.wiktionary.org/wiki/auf_Holz_klopfen
auf jeden Fall	197	197	auf jeden Fall		1535	1535	1537	1537							1535	https://de.wiktionary.org/wiki/auf_jeden_Fall
auf Kante nähen	198	198	auf Kante + NÄHEN		9	9 -> 9	10	10 -> 10							9	https://de.wiktionary.org/wiki/auf_Kante_n%C3%A4hen
auf keine Kuhhaut gehen	199	199	auf keine Kuhhaut + GEHEN		6	6 -> 6	6	6 -> 6							6	https://de.wiktionary.org/wiki/auf_keine_Kuhhaut_gehen
auf keinen Fall	200	200	auf keinen Fall		440	440	445	445							440	https://de.wiktionary.org/wiki/auf_keinen_Fall
auf keinen grünen Zweig kommen	201	201	keinen grünen Zweig + KOMMEN		6	6 -> 6	6	6 -> 6							6	https://de.wiktionary.org/wiki/auf_keinen_gr%C3%BCnen_Zweig_kommen
auf Krawall gebürstet sein	202	202	auf Krawall gebürstet + SEIN		6	7 -> 6	6	7 -> 6							6	https://de.wiktionary.org/wiki/auf_Krawall_geb%C3%BCrstet_sein
auf laut stellen	203	203	auf laut + STELLEN		0	4 -> 0	0	10 -> 0							0	https://de.wiktionary.org/wiki/auf_laut_stellen
auf Messers Schneide stehen	204	204	auf Messers Schneide	auf des Messers Schneide	16	16	16	16	10	10	10	10			16	https://de.wiktionary.org/wiki/auf_Messers_Schneide_stehen
auf Nimmerwiedersehen	205	205	auf Nimmerwiedersehen		13	13	13	13							13	https://de.wiktionary.org/wiki/auf_Nimmerwiedersehen
auf Nummer sicher gehen	206	206	auf Nummer + sicher		78	90 -> 78	78	90 -> 78							78	https://de.wiktionary.org/wiki/auf_Nummer_sicher_gehen
auf offener Straße	207	207	auf offener Straße		99	99	99	99							99	https://de.wiktionary.org/wiki/auf_offener_Stra%C3%9Fe
auf Pump leben	208	208	auf Pump + LEBEN		8	45 -> 8	10	45 -> 10							8	https://de.wiktionary.org/wiki/auf_Pump_leben
auf Punkt und Beistrich	209	209	auf Punkt und Beistrich		3	3	3	3							3	https://de.wiktionary.org/wiki/auf_Punkt_und_Beistrich
auf Punkt und Komma	210	210	auf Punkt und Komma		1	1	1	1							1	https://de.wiktionary.org/wiki/auf_Punkt_und_Komma
auf Sand gebaut haben	211	211	auf Sand gebaut		2	2	2	2							2	https://de.wiktionary.org/wiki/auf_Sand_gebaut_haben
auf Schusters Rappen	212	212	auf Schusters Rappen		4	4	4	4							4	https://de.wiktionary.org/wiki/auf_Schusters_Rappen
auf sich warten lassen	213	213	auf SICHA warten + LASSEN		298	329 -> 298	299	329 -> 299							298	https://de.wiktionary.org/wiki/auf_sich_warten_lassen
auf Spitz und Knopf stehen	214	214	auf Spitz und Knopf + STEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/auf_Spitz_und_Knopf_stehen
auf taube Ohren stoßen	215	215	auf taube Ohren + STOẞEN	auf offene Ohren + STOẞEN	23	26 -> 23	24	27 -> 24	26	36 -> 26	26	36 -> 26			23	https://de.wiktionary.org/wiki/auf_taube_Ohren_sto%C3%9Fen
auf Teufel komm raus	216	216	auf Teufel + (\b|\bhe)raus(\b|k|z|g) + _KOMMEN		17	17 -> 17 -> 17	18	18 -> 18 -> 18							17	https://de.wiktionary.org/wiki/auf_Teufel_komm_raus
auf tönernen Füßen stehen	217	217	auf tönernen Füßen + STEHEN	auf tönernen Füßen + SEIN	3	5 -> 3	3	5 -> 3	2	5 -> 2	2	5 -> 2			3	https://de.wiktionary.org/wiki/auf_t%C3%B6nernen_F%C3%BC%C3%9Fen_stehen
auf und davon	218	218	auf und davon		28	28	29	29							28	https://de.wiktionary.org/wiki/auf_und_davon
auf verlorenem Posten stehen	219	219	auf verlorenem Posten + STEHEN	auf verlorenem Posten + SEIN	21	36 -> 21	21	36 -> 21	9	36 -> 9	9	36 -> 9			21	https://de.wiktionary.org/wiki/auf_verlorenem_Posten_stehen
auf Vordermann bringen	220	220	auf Vordermann + BRINGEN		82	84 -> 82	82	84 -> 82							82	https://de.wiktionary.org/wiki/auf_Vordermann_bringen
auf Wolke sieben schweben	221	221	auf Wolke sieben	auf Wolke sieben + schweb	14	14	17	17	10	14 -> 10	14	17 -> 14			14	https://de.wiktionary.org/wiki/auf_Wolke_sieben_schweben
auf Zack bringen	222	222	auf Zack + BRINGEN		0	12 -> 0	0	13 -> 0							0	https://de.wiktionary.org/wiki/auf_Zack_bringen
auf Zack sein	223	223	auf Zack + SEIN		8	12 -> 8	8	13 -> 8							8	https://de.wiktionary.org/wiki/auf_Zack_sein
auf Zuwachs berechnet sein	224	224	auf Zuwachs + berechnet + SEIN		0	2 -> 0 -> 0	0	2 -> 0 -> 0							0	https://de.wiktionary.org/wiki/auf_Zuwachs_berechnet_sein
auf zwei Hochzeiten tanzen	225	225	auf zwei Hochzeiten + tanz		4	5 -> 4	5	5 -> 5							4	https://de.wiktionary.org/wiki/auf_zwei_Hochzeiten_tanzen
aufgehen wie ein Hefekloß	226	226	wie ein Hefekloß		0	0	0	0							0	https://de.wiktionary.org/wiki/aufgehen_wie_ein_Hefeklo%C3%9F
aufgehen wie ein Pfannkuchen	227	227	wie ein Pfannkuchen + \bauf + _GEHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/aufgehen_wie_ein_Pfannkuchen
aufn Swutsch gehen	228	228	aufn Swutsch + GEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/aufn_Swutsch_gehen
aufpassen wie ein Haftelmacher	229	229	wie ein Haftelmacher		0	0	0	0							0	https://de.wiktionary.org/wiki/aufpassen_wie_ein_Haftelmacher
aufpassen wie ein Heftelmacher	230	230	wie ein Heftelmacher + \bauf(\b|p|z|g) + pass		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/aufpassen_wie_ein_Heftelmacher
aufpassen wie ein Luchs	231	231	wie ein Luchs + auf + pass		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	https://de.wiktionary.org/wiki/aufpassen_wie_ein_Luchs
aufpassen wie ein Schießhund	232	232	wie ein Schießhund		1	1	1	1							1	https://de.wiktionary.org/wiki/aufpassen_wie_ein_Schie%C3%9Fhund
aufs Ganze gehen	233	233	aufs Ganze + GEHEN		10	17 -> 10	11	20 -> 11							10	https://de.wiktionary.org/wiki/aufs_Ganze_gehen
aufs Haar	234	234	aufs Haar		6	6	6	6							6	https://de.wiktionary.org/wiki/aufs_Haar
Aufsehen erregen	235	235	Aufsehen + \berreg		210	791 -> 210	211	793 -> 211							210	https://de.wiktionary.org/wiki/Aufsehen_erregen
Auge um Auge	236	236	Auge um Auge		13	13	13	13							13	https://de.wiktionary.org/wiki/Auge_um_Auge
Auge um Auge, Zahn um Zahn	237	237	Auge um Auge + Zahn um Zahn		4	13 -> 4	4	13 -> 4							4	https://de.wiktionary.org/wiki/Auge_um_Auge%2C_Zahn_um_Zahn
Augen zu und durch	238	238	Augen zu und durch		12	12	12	12							12	https://de.wiktionary.org/wiki/Augen_zu_und_durch
aus allen Himmeln fallen	239	239	aus allen Himmeln + FALLEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/aus_allen_Himmeln_fallen
aus allen Himmeln stürzen	240	240	aus allen Himmeln + stürz		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/aus_allen_Himmeln_st%C3%BCrzen
aus allen Wolken fallen	241	241	aus allen Wolken + FALLEN		15	16 -> 15	15	16 -> 15							15	https://de.wiktionary.org/wiki/aus_allen_Wolken_fallen
aus Daffke	242	242	aus Daffke		0	0	0	0							0	https://de.wiktionary.org/wiki/aus_Daffke
aus dem Blechnapf fressen	243	243	aus dem Blechnapf + FRESSEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/aus_dem_Blechnapf_fressen
aus dem Feuer reißen	244	244	aus dem Feuer + REIẞEN		0	21 -> 0	0	21 -> 0							0	https://de.wiktionary.org/wiki/aus_dem_Feuer_rei%C3%9Fen
aus dem Handgelenk	245	245	aus dem Handgelenk		3	3	3	3							3	https://de.wiktionary.org/wiki/aus_dem_Handgelenk
aus dem Hinterhalt pupen	246	246	aus dem Hinterhalt + PUPEN		0	25 -> 0	0	25 -> 0							0	https://de.wiktionary.org/wiki/aus_dem_Hinterhalt_pupen
aus dem Hut zaubern	247	247	aus dem Hut + zauber		21	25 -> 21	21	25 -> 21							21	https://de.wiktionary.org/wiki/aus_dem_Hut_zaubern
aus dem Knick kommen	248	248	aus dem Knick + KOMMEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/aus_dem_Knick_kommen
aus dem Koffer leben	249	249	aus dem Koffer + LEBEN		0	5 -> 0	2	5 -> 2							0	https://de.wiktionary.org/wiki/aus_dem_Koffer_leben
aus dem Kopf	250	250	aus dem Kopf		44	44	44	44							44	https://de.wiktionary.org/wiki/aus_dem_Kopf
aus dem Lameng	251	251	aus dem Lameng		0	0	0	0							0	https://de.wiktionary.org/wiki/aus_dem_Lameng
aus dem Leim gehen	252	252	aus dem Leim + GEHEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/aus_dem_Leim_gehen
aus dem letzten Loch pfeifen	253	253	aus dem letzten Lock + PFEIFEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/aus_dem_letzten_Loch_pfeifen
aus dem Nähkästchen plaudern	254	254	aus dem Nähkästchen + plauder		21	23 -> 21	22	23 -> 22							21	https://de.wiktionary.org/wiki/aus_dem_N%C3%A4hk%C3%A4stchen_plaudern
aus dem Rahmen fallen	255	255	aus dem Rahmen + FALLEN		28	32 -> 28	28	32 -> 28							28	https://de.wiktionary.org/wiki/aus_dem_Rahmen_fallen
aus dem Ruder laufen	256	256	aus dem Ruder + LAUFEN		111	118 -> 111	111	118 -> 111							111	https://de.wiktionary.org/wiki/aus_dem_Ruder_laufen
aus dem Schneider sein	257	257	aus dem Schneider + SEIN		8	8 -> 8	8	8 -> 8							8	https://de.wiktionary.org/wiki/aus_dem_Schneider_sein
aus dem Vollen schöpfen	258	258	aus dem Vollen + schöpf		48	50 -> 48	51	55 -> 51							48	https://de.wiktionary.org/wiki/aus_dem_Vollen_sch%C3%B6pfen
aus den Augen verlieren	259	259	aus den Augen + VERLIEREN		153	198 -> 153	154	198 -> 154							153	https://de.wiktionary.org/wiki/aus_den_Augen_verlieren
aus den Federn	260	260	aus den Federn		9	9	9	9							9	https://de.wiktionary.org/wiki/aus_den_Federn
aus den Fugen gehen	261	261	aus den Fugen + GEHEN		2	69 -> 2	2	69 -> 2							2	https://de.wiktionary.org/wiki/aus_den_Fugen_gehen
aus den Fugen geraten	262	262	aus den Fugen + GERATEN		57	69 -> 57	58	69 -> 58							57	https://de.wiktionary.org/wiki/aus_den_Fugen_geraten
aus den Latschen kippen	263	263	aus den Latschen + kipp		3	5 -> 3	3	5 -> 3							3	https://de.wiktionary.org/wiki/aus_den_Latschen_kippen
aus der Art schlagen	264	264	aus der Art + SCHLAGEN		3	11 -> 3	3	11 -> 3							3	https://de.wiktionary.org/wiki/aus_der_Art_schlagen
aus der Decke schlagen	265	265	aus der Decke + SCHLAGEN		0	2 -> 0	0	2 -> 0							0	https://de.wiktionary.org/wiki/aus_der_Decke_schlagen
aus der Haut fahren	266	266	aus der Haut + FAHREN		7	19 -> 7	7	19 -> 7							7	https://de.wiktionary.org/wiki/aus_der_Haut_fahren
aus der Hüfte schießen	267	267	aus der Hüfte + SCHIEẞEN		5	17 -> 5	5	17 -> 5							5	https://de.wiktionary.org/wiki/aus_der_H%C3%BCfte_schie%C3%9Fen
aus der Lamäng	268	268	aus der Lamäng		0	0	0	0							0	https://de.wiktionary.org/wiki/aus_der_Lam%C3%A4ng
aus der Portokasse zahlen	269	269	aus der Portokasse + zahl		4	7 -> 4	4	7 -> 4							4	https://de.wiktionary.org/wiki/aus_der_Portokasse_zahlen
aus der Reihe tanzen	270	270	aus der Reihe + tanz		20	64 -> 20	21	64 -> 21							20	https://de.wiktionary.org/wiki/aus_der_Reihe_tanzen
aus die Maus	271	271	aus die Maus		5	5	5	5							5	https://de.wiktionary.org/wiki/aus_die_Maus
aus einem Furz einen Donnerschlag machen	272	272	aus einem Furz + einen Donnerschlag + MACHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/aus_einem_Furz_einen_Donnerschlag_machen
aus einer Mücke einen Elefanten machen	273	273	Mücke + Elefanten + MACHEN		4	114 -> 4 -> 4	4	114 -> 4 -> 4							4	https://de.wiktionary.org/wiki/aus_einer_M%C3%BCcke_einen_Elefanten_machen
aus etwas Honig saugen	274	274	Honig + SAUGEN		3	306 -> 3	3	306 -> 3							3	https://de.wiktionary.org/wiki/aus_etwas_Honig_saugen
aus etwas Kleinholz machen	275	275	aus + Kleinholz + MACHEN		2	209781 -> 2 -> 2	2	209798 -> 2 -> 2							2	https://de.wiktionary.org/wiki/aus_etwas_Kleinholz_machen
aus freien Stücken	276	276	aus freien Stücken		41	41	41	41							41	https://de.wiktionary.org/wiki/aus_freien_St%C3%BCcken
aus jemandem Hackfleisch machen	277	277	aus + Hackfleisch + MACHEN		0	209781 -> 3 -> 0	0	209798 -> 3 -> 0							0	https://de.wiktionary.org/wiki/aus_jemandem_Hackfleisch_machen
aus jemandem Kleinholz machen	278	278	\b[Aa]us\b + Kleinholz + MACHEN		2	206214 -> 2 -> 2	2	206230 -> 2 -> 2							2	https://de.wiktionary.org/wiki/aus_jemandem_Kleinholz_machen
aus Scheiße Geld machen	279	279	aus Scheiße + Geld + MACHEN		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	https://de.wiktionary.org/wiki/aus_Schei%C3%9Fe_Geld_machen
aus seinem Herzen keine Mördergrube machen	280	280	aus SEINMND Herzen keine Mördergrube + MACHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/aus_seinem_Herzen_keine_M%C3%B6rdergrube_machen
aus sich heraus	281	281	aus SICHD heraus		22	22	22	22							22	https://de.wiktionary.org/wiki/aus_sich_heraus
aus vollem Hals	282	282	aus vollem Hals		0	0	0	0							0	https://de.wiktionary.org/wiki/aus_vollem_Hals
aus vollem Halse	283	283	aus vollem Halse		1	1	1	1							1	https://de.wiktionary.org/wiki/aus_vollem_Halse
aus voller Brust	284	284	aus voller Brust		0	0	0	0							0	https://de.wiktionary.org/wiki/aus_voller_Brust
aus voller Kehle	285	285	aus voller Kehle		3	3	3	3							3	https://de.wiktionary.org/wiki/aus_voller_Kehle
ausgehen wie das Hornberger Schießen	286	286	wie das Hornberger Schieße		0	0	0	0							0	https://de.wiktionary.org/wiki/ausgehen_wie_das_Hornberger_Schie%C3%9Fen
Ausnahmen bestätigen die Regel	287	287	Ausnahmen + bestätigen + die Regel		10	935 -> 12 -> 10	10	936 -> 12 -> 10							10	https://de.wiktionary.org/wiki/Ausnahmen_best%C3%A4tigen_die_Regel
Ausschau halten	288	288	Ausschau + HALTEN		141	149 -> 141	149	150 -> 149							141	https://de.wiktionary.org/wiki/Ausschau_halten
aussehen wie das Leiden Christi	289	289	wie das Leiden Christi		0	0	0	0							0	https://de.wiktionary.org/wiki/aussehen_wie_das_Leiden_Christi
außer Rand und Band geraten	290	290	außer Rand und Band + GERATEN		5	16 -> 5	5	16 -> 5							5	https://de.wiktionary.org/wiki/au%C3%9Fer_Rand_und_Band_geraten
außer sich sein	291	291	außer SICHD + SEIN		64	86 -> 64	64	86 -> 64							64	https://de.wiktionary.org/wiki/au%C3%9Fer_sich_sein
außer Spesen nichts gewesen	292	292	außer Spesen nichts gewesen		2	2	2	2							2	https://de.wiktionary.org/wiki/au%C3%9Fer_Spesen_nichts_gewesen
Bacchus huldigen	293	293	Bacchug + huldig		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/Bacchus_huldigen
bar auf die Hand	294	294	bar auf die Hand		3	3	3	3							3	https://de.wiktionary.org/wiki/bar_auf_die_Hand
Bauklötze staunen	295	295	Bauklötze + staun		6	13 -> 6	6	13 -> 6							6	https://de.wiktionary.org/wiki/Baukl%C3%B6tze_staunen
Bauklötzer staunen	296	296	Bauklötzer + staun		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/Baukl%C3%B6tzer_staunen
Bedenken tragen	297	297	Bedenken + TRAGEN		7	1158 -> 7	11	1594 -> 11							7	https://de.wiktionary.org/wiki/Bedenken_tragen
bei Adam und Eva anfangen	298	298	bei Adam und Eva + \ban(\b|f|z|g) + _FANGEN		0	1 -> 1 -> 0	0	1 -> 1 -> 0							0	https://de.wiktionary.org/wiki/bei_Adam_und_Eva_anfangen
bei Fuß	299	299	bei Fuß		19	19	19	19							19	https://de.wiktionary.org/wiki/bei_Fu%C3%9F
bei jemandem abgegessen haben	300	300	abgegessen + HABEN + MANUAL_REVIEW		0	1 -> 0 -> 0	0	1 -> 0 -> 0							0	https://de.wiktionary.org/wiki/bei_jemandem_abgegessen_haben
bei jemandem auf den Busch klopfen	301	301	auf den Busch + klopf		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/bei_jemandem_auf_den_Busch_klopfen
bei jemandem einen Stein im Brett haben	302	302	einen Stein + im Brett		0	75 -> 0	0	75 -> 0							0	https://de.wiktionary.org/wiki/bei_jemandem_einen_Stein_im_Brett_haben
bei jemandem gut Wetter machen	303	303	bei + gut Wetter + MACHEN		2	310731 -> 2 -> 2	2	310741 -> 2 -> 2							2	https://de.wiktionary.org/wiki/bei_jemandem_gut_Wetter_machen
bei jemandem hat der Staatsanwalt den Finger drauf	304	304	\b[Bb]ei\b + der Staatsanwalt + den Finger + \bdrauf + HABEN		0	214755 -> 3 -> 0 -> 0 -> 0	0	214761 -> 3 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/bei_jemandem_hat_der_Staatsanwalt_den_Finger_drauf
bei jemandem hat der Staatsanwalt noch den Finger drauf	305	305	\b[Bb]ei\b + der Staatsanwalt + den Finger + \bdrauf + HABEN		0	214755 -> 3 -> 0 -> 0 -> 0	0	214761 -> 3 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/bei_jemandem_hat_der_Staatsanwalt_noch_den_Finger_drauf
bei jemandem ist der Groschen gefallen	306	306	der Groschen + gefallen + SEIN + bei		2	12 -> 2 -> 2 -> 2	2	12 -> 2 -> 2 -> 2							2	https://de.wiktionary.org/wiki/bei_jemandem_ist_der_Groschen_gefallen
bei jemandem ist Schmalhans Küchenmeister	307	307	bei + Schmalhans Küchenmeister + SEIN		0	310731 -> 0 -> 0	0	310741 -> 0 -> 0							0	https://de.wiktionary.org/wiki/bei_jemandem_ist_Schmalhans_K%C3%BCchenmeister
bei jemandem schrillen die Alarmglocken	308	308	die Alarmglocken + schrill(t)en + bei		1	46 -> 1 -> 1	1	46 -> 1 -> 1							1	https://de.wiktionary.org/wiki/bei_jemandem_schrillen_die_Alarmglocken
bei Philippi sehen wir uns wieder	309	309	bei Philippi + wieder + _SEHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/bei_Philippi_sehen_wir_uns_wieder
bei Wasser und Brot sitzen	310	310	bei Wasser und Brot + SITZEN		1	3 -> 1	1	3 -> 1							1	https://de.wiktionary.org/wiki/bei_Wasser_und_Brot_sitzen
bei Wind und Wetter	311	311	bei Wind und Wetter		20	20	20	20							20	https://de.wiktionary.org/wiki/bei_Wind_und_Wetter
beide Hände voll zu tun haben	312	312	beide Hände + voll zu tun	Hände + voll zu tun	0	43 -> 0	0	43 -> 0	80	1884 -> 80	80	1884 -> 80			0	https://de.wiktionary.org/wiki/beide_H%C3%A4nde_voll_zu_tun_haben
beim Kranich zu Gast sein	313	313	beim Kranich zu Gast		0	0	0	0							0	https://de.wiktionary.org/wiki/beim_Kranich_zu_Gast_sein
bekannt sein wie ein bunter Hund	314	314	wie ein bunter Hund + bekannt		3	3 -> 3	3	3 -> 3							3	https://de.wiktionary.org/wiki/bekannt_sein_wie_ein_bunter_Hund
bekannt sein wie ein scheckiger Hund	315	315	wie ein scheckiger Hund + bekannt		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/bekannt_sein_wie_ein_scheckiger_Hund
Berge versetzen können	316	316	Berge versetzen + KÖNNEN		4	8 -> 4	4	8 -> 4							4	https://de.wiktionary.org/wiki/Berge_versetzen_k%C3%B6nnen
Bescheid sagen	317	317	Bescheid + SAGEN		25	460 -> 25	29	478 -> 29							25	https://de.wiktionary.org/wiki/Bescheid_sagen
betrunken wie eine Strandhaubitze	318	318	betrunken + wie + Strandhaubitze		0	305 -> 12 -> 0	0	305 -> 12 -> 0							0	https://de.wiktionary.org/wiki/betrunken_wie_eine_Strandhaubitze
Bilanz ziehen	319	319	Bilanz + ZIEHEN + MANUAL_REVIEW		406	2086 -> 406 -> 406	406	2124 -> 406 -> 406					406	50/50 * 406	406	https://de.wiktionary.org/wiki/Bilanz_ziehen
